"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"136","Moldova","Sovereign country","Moldova","Moldova","Moldova","Moldova","Moldova","Moldova","Republic of Moldova","Moldova"
"137","Madagascar","Sovereign country","Madagascar","Madagascar","Madagascar","Madagascar","Madagascar","Madagascar","Republic of Madagascar","Madagascar"
"138","Maldives","Sovereign country","Maldives","Maldives","Maldives","Maldives","Maldives","Maldives","Republic of Maldives","Maldives"
"139","Mexico","Sovereign country","Mexico","Mexico","Mexico","Mexico","Mexico","Mexico","United Mexican States","Mexico"
"140","Marshall Islands","Sovereign country","Marshall Islands","Marshall Islands","Marshall Islands","Marshall Is.","Marshall Islands","Marshall Is.","Republic of the Marshall Islands","Marshall Islands"
"141","Macedonia","Sovereign country","Macedonia","Macedonia","Macedonia","Macedonia","Macedonia","Macedonia","Former Yugoslav Republic of Macedonia","Macedonia, FYR"
"142","Mali","Sovereign country","Mali","Mali","Mali","Mali","Mali","Mali","Republic of Mali","Mali"
"143","Malta","Sovereign country","Malta","Malta","Malta","Malta","Malta","Malta","Republic of Malta","Malta"
"144","Myanmar","Sovereign country","Myanmar","Myanmar","Myanmar","Myanmar","Myanmar","Myanmar","Republic of the Union of Myanmar","Myanmar"
"145","Montenegro","Sovereign country","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro"
"146","Mongolia","Sovereign country","Mongolia","Mongolia","Mongolia","Mongolia","Mongolia","Mongolia","Mongolia","Mongolia"
"147","United States of America","Dependency","Northern Mariana Islands","Northern Mariana Islands","Northern Mariana Islands","N. Mariana Is.","Northern Mariana Islands","N. Mariana Is.","Commonwealth of the Northern Mariana Islands","Northern Mariana Islands"
"148","Mozambique","Sovereign country","Mozambique","Mozambique","Mozambique","Mozambique","Mozambique","Mozambique","Republic of Mozambique","Mozambique"
"149","Mauritania","Sovereign country","Mauritania","Mauritania","Mauritania","Mauritania","Mauritania","Mauritania","Islamic Republic of Mauritania","Mauritania"
"150","United Kingdom","Dependency","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat",NA,"Montserrat"
"151","Mauritius","Sovereign country","Mauritius","Mauritius","Mauritius","Mauritius","Mauritius","Mauritius","Republic of Mauritius","Mauritius"
"152","Malawi","Sovereign country","Malawi","Malawi","Malawi","Malawi","Malawi","Malawi","Republic of Malawi","Malawi"
"153","Malaysia","Sovereign country","Malaysia","Malaysia","Malaysia","Malaysia","Malaysia","Malaysia","Malaysia","Malaysia"
"154","Namibia","Sovereign country","Namibia","Namibia","Namibia","Namibia","Namibia","Namibia","Republic of Namibia","Namibia"
"155","France","Dependency","New Caledonia","New Caledonia","New Caledonia","New Caledonia","New Caledonia","New Caledonia","New Caledonia","New Caledonia"
